,text,polarity
0,"RT @HvEvil: @realDonaldTrump ""In fact, I don't think he's that bad. So I actually wouldn't even be that worried if he was President""

From…",-0.3499999999999999
1,"RT @mcspocky: Yet again, Trump attacks a prominent black journalist https://t.co/K7vmGWLmAP

When a president is an EXTREME failure, he Twe…",-0.027083333333333334
2,NHL's Mike Richter Begs Donald Trump To Take Climate Change Seriously https://t.co/564P7f78KE,-0.3333333333333333
3,Trump confirms death of Osama Bin Laden's son https://t.co/0e2erVWdQz,0.0
4,"RT @TombStoneBub: I support Trump because he’s America first , he’s got the economy booming, he’s fixing the border,, he’s not a racist cuz…",0.25
5,Trump Tweeting Isn’t the Problem – It’s the Yuuge Opportunity Costs https://t.co/nKSgECIWxP https://t.co/Z9BBU2mO9d,0.0
6,"RT @PalestinePR: When Trump was running for the office of POTUS,  he promised to be neutral on the question of Israel/Palestine. Trump lied…",0.0
7,RT @treasonstickers: FUN FACT: Melania Trump is the first First Lady to enter the US illegally by illegally lying about having a college de…,0.07500000000000001
8,RT @trustrestored: House Democrats Propose to Block Trump's Aid to Farmers. They really do hate you America.  https://t.co/wbFHFGxM2T,-0.8
9,"RT @TrinityResists: Trump stole a British reality TV star’s picture without his consent to advertise for his re-election campaign. 

Let’s…",0.0
10,RT @patrickLSimpson: Kavanaugh should be impeached. Trump should be prevented from naming his replacement until the impeachment investigati…,0.0
11,@JoeySalads @realDonaldTrump I'm an anti Trump Conservative.,0.0
12,"RT @DavidJHarrisJr: WOW... Another racial hoax that blames Trump supporters 😡

Fortunately law enforcement discovered what actually happene…",0.16666666666666666
13,"That is just typical, we are just not smart enough yet, time for a re think. Maybe #Trump has got it right after al… https://t.co/hn3KcXUi0h",0.0029761904761904795
14,"RT @thehill: Sen. Kamala Harris: ""The focus should be on what we need to do to prosecute the case against Donald Trump. And for me that is…",0.0
15,"RT @LMAO_in_Fla: What it's gonna look like when the ""trump dynasty"" crumbles. https://t.co/G42MrKJ65x",0.0
16,Donald Trump hates Mike  Pence because his bullet-proof limousine was made in Iran and his tweets are as calm but s… https://t.co/NngyCK1MuI,0.30000000000000004
17,It's why I keep going back to my central hypothesis (which hardens my support for Trump): https://t.co/IbmXxxIZii,0.0
18,"RT @proxcee: You want to see voters come out in DROVES for Trump???

Just TRY and impeach him! 💯🇺🇸
#MAGA
#DirtyDossier 
#Trump2020Landslide…",0.0
19,"RT @DavidLammy: Don't be distracted by Boris Johnson's Donald Trump impression.

We have a Prime Minister hell-bent on breaking the law to…",0.0
